step,reward_mean,physics_reward,format_reward,advantage_std,constant_groups,n_tokens,step_time_s
1,0.7635,0.6732,1.0000,0.1552,1.00,84.6,35.97
2,0.7623,0.6665,1.0000,0.1768,1.00,85.1,26.28
3,0.6545,0.5369,1.0000,0.0706,1.00,86.2,28.50
4,0.5101,0.3681,1.0000,0.1985,0.00,84.9,25.17
5,0.9461,0.8780,1.0000,0.1096,2.00,81.9,36.72
6,0.9022,0.8257,1.0000,0.1705,1.00,82.1,32.13
7,0.7143,0.6117,1.0000,0.1168,1.00,85.2,33.37
8,1.0182,0.9641,1.0000,0.0621,3.00,72.8,25.02
9,0.6260,0.5012,1.0000,0.1128,1.00,89.6,38.20
10,0.9082,0.8345,1.0000,0.1112,3.00,81.2,36.07
11,0.5693,0.4355,1.0000,0.1403,1.00,81.7,25.72
12,0.6850,0.5750,1.0000,0.2500,0.00,59.8,18.19
13,0.9104,0.8412,1.0000,0.0440,3.00,84.8,94.41
1,0.6153,0.5754,1.0000,0.1229,0.00,82.8,36.26
2,0.5875,0.5395,1.0000,0.0496,1.00,85.8,17.18
3,0.7165,0.6686,1.0000,0.2305,0.00,83.0,22.13
4,0.5500,0.5000,1.0000,0.1000,2.00,79.2,57.70
1,0.6966,0.6411,1.0000,0.2315,0.00,84.2,30.47
2,0.5802,0.5318,1.0000,0.0499,1.00,82.5,21.66
3,0.6153,0.5687,1.0000,0.0524,1.00,75.1,27.91
4,0.5500,0.5000,1.0000,0.1000,2.00,80.0,17.74
5,1.0500,1.0000,1.0000,0.0000,2.00,80.8,30.27
6,0.1750,0.1250,1.0000,0.2840,1.00,88.6,26.75
7,1.0306,0.9795,1.0000,0.0539,1.00,80.9,29.35
8,0.3000,0.2500,1.0000,0.2616,1.00,86.1,20.12
9,0.8098,0.7735,1.0000,0.0630,1.00,83.5,27.07
10,0.7183,0.6771,1.0000,0.1444,0.00,86.1,31.92
11,1.0325,0.9816,1.0000,0.0535,1.00,78.6,33.69
12,0.9102,0.8595,1.0000,0.0567,1.00,81.2,22.73
13,0.5500,0.5000,1.0000,0.1000,2.00,81.8,29.26
14,0.7284,0.6813,1.0000,0.2202,1.00,91.9,24.33
15,1.0485,0.9984,1.0000,0.0000,2.00,84.9,33.20
16,1.0374,0.9868,1.0000,0.0575,1.00,81.1,25.88
17,0.6629,0.6123,1.0000,0.2634,0.00,83.4,29.44
18,0.6383,0.5929,1.0000,0.0485,1.00,81.6,15.33
19,0.8130,0.7637,1.0000,0.1574,1.00,79.9,21.08
20,0.9024,0.8512,1.0000,0.1318,0.00,85.8,26.94
21,1.0500,1.0000,1.0000,0.0000,2.00,73.9,36.11
22,0.6066,0.5661,1.0000,0.2336,0.00,82.5,23.41
23,0.4228,0.3792,1.0000,0.1651,1.00,81.4,33.11
24,1.0500,1.0000,1.0000,0.0000,2.00,81.6,26.05
25,1.0500,1.0000,1.0000,0.0000,2.00,81.2,33.41
26,0.6682,0.6178,1.0000,0.2338,0.00,79.9,17.50
27,0.6156,0.5691,1.0000,0.0484,1.00,78.4,22.77
28,0.6486,0.6037,1.0000,0.0525,1.00,64.5,17.26
29,0.7812,0.7433,1.0000,0.0558,1.00,83.5,42.55
30,0.1227,0.0765,1.0000,0.0000,2.00,83.1,22.16
31,0.5502,0.5002,1.0000,0.1000,2.00,82.1,18.90
32,0.6750,0.6250,1.0000,0.2488,1.00,81.9,24.54
33,0.7609,0.7155,1.0000,0.0919,1.00,81.8,33.25
34,0.9250,0.8750,1.0000,0.1017,1.00,82.4,18.42
35,0.6689,0.6252,1.0000,0.0494,1.00,81.2,27.13
36,0.9248,0.8748,1.0000,0.1017,1.00,95.2,27.40
37,1.0500,1.0000,1.0000,0.0000,2.00,78.6,41.01
38,1.0500,1.0000,1.0000,0.0000,2.00,80.2,25.94
39,0.9250,0.8750,1.0000,0.1017,1.00,84.5,37.46
40,0.7995,0.7495,1.0000,0.2084,1.00,84.0,25.36
41,0.6319,0.5862,1.0000,0.0495,1.00,83.5,28.80
42,0.9000,0.8619,1.0000,0.0924,1.00,85.1,21.72
43,0.5521,0.5023,1.0000,0.1000,2.00,82.5,13.94
44,0.5516,0.5017,1.0000,0.1000,2.00,79.8,22.17
45,0.4449,0.3960,1.0000,0.1307,0.00,82.1,26.27
46,0.9785,0.9247,1.0000,0.0701,1.00,81.6,23.43
47,0.8000,0.7500,1.0000,0.2084,1.00,85.5,19.46
48,1.0500,1.0000,1.0000,0.0000,2.00,80.2,19.21
49,0.5025,0.4566,1.0000,0.2738,0.00,84.6,43.19
50,1.0500,1.0000,1.0000,0.0000,2.00,61.2,33.60
51,0.3907,0.3455,1.0000,0.2286,0.00,86.2,22.60
52,0.6792,0.6294,1.0000,0.1672,1.00,81.5,28.90
53,0.6009,0.5536,1.0000,0.0487,1.00,76.0,28.66
54,0.5500,0.5000,1.0000,0.1000,2.00,81.1,15.47
55,1.0500,1.0000,1.0000,0.0000,2.00,81.9,31.42
56,0.5500,0.5000,1.0000,0.1000,2.00,82.8,14.62
57,0.7773,0.7392,1.0000,0.0503,1.00,81.9,26.63
58,0.4250,0.3750,1.0000,0.1706,1.00,81.8,20.94
59,0.6921,0.6495,1.0000,0.2158,0.00,71.6,21.48
60,1.0500,1.0000,1.0000,0.0000,2.00,81.1,34.32
61,0.6842,0.6412,1.0000,0.1309,0.00,80.1,27.01
62,0.7284,0.6813,1.0000,0.2202,1.00,75.1,18.28
63,1.0500,1.0000,1.0000,0.0000,2.00,81.5,25.38
64,0.5770,0.5284,1.0000,0.2500,0.00,84.2,45.04
65,0.2315,0.1845,1.0000,0.2618,0.00,76.9,33.31
66,1.0500,1.0000,1.0000,0.0000,2.00,81.0,23.91
67,0.2751,0.2303,1.0000,0.2621,0.00,84.1,18.30
68,0.8000,0.7500,1.0000,0.2084,1.00,81.6,22.35
69,0.4251,0.3817,1.0000,0.2319,0.00,84.4,25.75
70,0.7722,0.7208,1.0000,0.1402,1.00,82.6,36.33
71,0.4938,0.4408,1.0000,0.2341,0.00,87.1,23.40
72,0.6428,0.5977,1.0000,0.0514,1.00,74.4,43.31
73,1.0476,0.9975,1.0000,0.0000,2.00,81.1,35.61
74,0.6750,0.6250,1.0000,0.2488,1.00,84.4,20.67
75,1.0500,1.0000,1.0000,0.0000,2.00,81.0,26.52
76,0.6798,0.6366,1.0000,0.0611,1.00,84.6,26.43
77,0.5552,0.5055,1.0000,0.1000,2.00,69.1,28.76
78,1.0499,0.9999,1.0000,0.0000,2.00,77.8,24.25
79,0.4281,0.3848,1.0000,0.2232,0.00,83.6,26.31
80,1.0500,1.0000,1.0000,0.0000,2.00,82.5,23.17
81,0.6213,0.5750,1.0000,0.1000,2.00,73.2,24.48
82,0.6750,0.6250,1.0000,0.2488,1.00,82.5,22.48
83,0.9863,0.9395,1.0000,0.0931,1.00,85.1,25.30
84,0.5529,0.5031,1.0000,0.1000,2.00,83.4,19.57
